date,update_time,gold_buy,gold_sell,gold_bar_buy,gold_bar_sell,change_prev,change_yesterday,timestamp
13 ตุลาคม 2568,เวลา 13:23 น.,"63,450.00","61,291.88","62,650.00","62,550.00",+,+,2025-10-13 14:04:36
14 ตุลาคม 2568,เวลา 17:23 น.,"64,950.00","62,762.40","64,150.00","64,050.00",+,+,2025-10-14 19:41:58
15 ตุลาคม 2568,เวลา 15:34 น.,"65,600.00","63,399.12","64,800.00","64,700.00",+,+,2025-10-15 16:10:34
16 ตุลาคม 2568,เวลา 16:57 น.,"66,100.00","63,899.40","65,300.00","65,200.00",+,+,2025-10-16 18:25:57
17 ตุลาคม 2568,เวลา 16:25 น.,"68,000.00","65,764.08","67,200.00","67,100.00",-50,+,2025-10-17 17:43:47
18 ตุลาคม 2568,เวลา 09:14 น.,"66,800.00","64,581.60","66,000.00","65,900.00","-1,200","-1,200",2025-10-19 20:45:35
20 ตุลาคม 2568,เวลา 15:51 น.,"66,800.00","64,581.60","66,000.00","65,900.00",-50,+,2025-10-20 16:00:13
21 ตุลาคม 2568,เวลา 17:18 น.,"67,050.00","64,824.16","66,250.00","66,150.00",-50,+,2025-10-21 20:32:48
22 ตุลาคม 2568,เวลา 15:58 น.,"64,500.00","62,322.76","63,700.00","63,600.00",-50,"-2,550",2025-10-22 16:00:20
23 ตุลาคม 2568,เวลา 15:58 น.,"64,650.00","62,474.36","63,850.00","63,750.00",-50,+,2025-10-23 16:00:20
24 ตุลาคม 2568,เวลา 15:49 น.,"63,950.00","61,792.16","63,150.00","63,050.00",+,-800,2025-10-24 16:00:15
25 ตุลาคม 2568,เวลา 09:09 น.,"64,500.00","62,322.76","63,700.00","63,600.00",+,+,2025-10-25 20:12:28
27 ตุลาคม 2568,เวลา 15:56 น.,"63,300.00","61,155.44","62,500.00","62,400.00",+,+,2025-10-27 16:00:06
28 ตุลาคม 2568,เวลา 17:17 น.,"60,700.00","58,608.56","59,900.00","59,800.00",+,+,2025-10-28 19:03:30
29 ตุลาคม 2568,เวลา 15:58 น.,"62,250.00","60,124.56","61,450.00","61,350.00",+50,"+1,550",2025-10-29 16:00:05
